id_empresa,ene_des_cod,ene_sum_ele,ene_pag_ali,ene_us_anu,ene_con_mes_ene_kwh,ene_con_mes_ene_val,ene_con_mes_feb_kwh,ene_con_mes_feb_val,ene_con_mes_mar_kwh,ene_con_mes_mar_val,ene_con_mes_abr_kwh,ene_con_mes_abr_val,ene_con_mes_may_kwh,ene_con_mes_may_val,ene_con_mes_jun_kwh,ene_con_mes_jun_val,ene_con_mes_jul_kwh,ene_con_mes_jul_val,ene_con_mes_ago_kwh,ene_con_mes_ago_val,ene_con_mes_sep_kwh,ene_con_mes_sep_val,ene_con_mes_oct_kwh,ene_con_mes_oct_val,ene_con_mes_nov_kwh,ene_con_mes_nov_val,ene_con_mes_dic_kwh,ene_con_mes_dic_val,ene_con_anu_kwh,ene_con_anu_val,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD,EMPRESAS_VALIDAS,empresa_unica
13601954014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601954014,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601954014,1,1,2,100,5174,390.78,4113,393.12,4635,357.33,5002,380.67,5249,497.43,49.11,473.8,5523,518.89,4525,439.72,5506,527.67,5737,534.44,5033,476.83,5378,504.42,55924.11,5495.1,1.05546492659054,C,5,C,1,0
13601955011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,1
13601955011,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13601955011,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13601955011,1,1,2,98,2331,178.14,2327,172.81,2006,169.06,2003,149.26,2709,247.06,2491,238.82,2676,255.66,2433,243.62,2429,243.31,2429,243.31,3072,374.64,3068,274.32,29974,2790.01,1.34308510638298,C,4,C,1,0
13601955011,5,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13601973019,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,1
13601973019,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,0
13601973019,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,0
13601973019,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,0
13601973019,1,1,1,100, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,0
13601980015,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601980015,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601980015,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601980015,1,1,2,99,99999,99999,40440,3147,52760,4119.14,48161,3596.53,66782,6241.92,50960,4774.4,56679,5280.48,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,315782,27159.47,1.05546492659054,C,5,C,1,0
13601980015,5,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601986013,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601986013,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601986013,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601986013,1,1,2,98,888420,64248.13,934890,62551.97,867760,57795.34,870360,5758.77,854700,73974.84,1596.4,15543.53,1039390,86276.76,1017130,87014.3,1022470,86755.28,1171770,98815.05,1167810,97873.8,1052640,90037.21,10888936.4,826644.98,1.05546492659054,C,5,C,1,0
13601986013,5,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601987010,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,1
13601987010,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,0
13601987010,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,0
13601987010,1,1,2,99,1539,124.44,1366,110.08,1177,94.39,1313,105.68,1345,140.39,1479,149.04,1239,124.32,1616,163.15,1453,146.36,1512,152.44,1468,147.9,1387,139.56,16894,1597.75,1.30508474576271,H,4,H,1,0
13601987010,5,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.30508474576271,H,4,H,1,0
13601992013,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601992013,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601992013,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601992013,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601992013,1,1,2,100,19478,1441.23,19478,1441.23,12320,926.71,12320,926.71,29603,2569.14,31125,2735.65,26902,2930.69,14938,1425.17,23918,2422,23918,2404,36883,3404.92,36883,3242.58,287766,25870.03,1.05546492659054,C,5,C,1,0
13602002017,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13602002017,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602002017,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602002017,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602002017,1,1,2,100,75525,5193.16,72864,5060.58,44157,3462.98,99999,99999,69109,6192.33,66325,6018.66,64073,5838.77,48114,4621.93,61658,5659.31,46274,4159.76,52170,4862.85,99999,99999,600269,51070.33,1.05546492659054,C,5,C,1,0
13602007019,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,1
13602007019,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13602007019,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13602007019,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13602007019,1,1,2,100,19644,1432.01,19640,1431.78,19963,1404.75,19959,1329.75,25070,2419.81,19533,1863.38,15233,1432.7,99999,99999,10834,1070.39,99999,99999,26599,2318.26,99999,99999,176475,14702.83,1.34308510638298,C,4,C,1,0
13602010010,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13602010010,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602010010,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602010010,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602010010,1,1,2,100,4098,237.47,4098,2148.15,40043,1329.5,24749,1422.02,26223,1972.37,26755,1683.23,22503,1821.79,24185,1570.2,21163,1935.09,26020,1814.05,15007,1660.3,22329,2183.42,257173,19777.59,1.05546492659054,C,5,C,1,0
13602012012,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13602012012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602012012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602012012,1,1,2,98,283740,61064.26,251790,57529.99,262140,60511.37,289330,62672.11,232020,76147.88,248760,72556.95,313680,87096.36,268410,81239.72,287650,80259.72,299050,83015.58,261230,83469.9,295840,85589.97,3293640,891153.81,1.05546492659054,C,5,C,1,0
13602012012,5,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602016018,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13602016018,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602016018,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602016018,1,1,2,96,1069320,69154.62,736630,42295.83,799660,52319.91,873510,56904.82,980180,82596.34,358660,91984.29,1079340,90592.62,1057510,88708,1077980,90909.87,1138690,95740.21,1172300,97290.45,1128190,94058.27,11471970,952555.23,1.05546492659054,C,5,C,1,0
13602016018,5,1, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602023014,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13602023014,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602023014,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13602023014,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
