id_empresa,fue_cap_des_cod,fue_cap_cue,fue_cap_reg,fue_cap_tot_anio,fue_cap_tot_por_con,fue_cap_aut_apr_agu,fue_cap_cua_aut,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
14849978170,1,2, , , , , ,1.30508474576271,H,4,H
14849978170,2,1,2, , ,2, ,1.30508474576271,H,4,H
14849978170,3,2, , , , , ,1.30508474576271,H,4,H
14849978170,4,2, , , , , ,1.30508474576271,H,4,H
14850265098,1,2, , , , , ,1.05546492659054,C,5,C
14850265098,2,2, , , , , ,1.05546492659054,C,5,C
14850265098,4,2, , , , , ,1.05546492659054,C,5,C
14850265098,3,2, , , , , ,1.05546492659054,C,5,C
14850787094,1,1,1,42228,100,1,1,1.07407407407407,B,5,B
14850787094,2,2, , , , , ,1.07407407407407,B,5,B
14850787094,4,2, , , , , ,1.07407407407407,B,5,B
14850787094,3,2, , , , , ,1.07407407407407,B,5,B
14850911071,1,1,1,78960,100,1,1,1.42857142857143,B,4,B
14850911071,2,2, , , , , ,1.42857142857143,B,4,B
14850911071,3,2, , , , , ,1.42857142857143,B,4,B
14850911071,4,2, , , , , ,1.42857142857143,B,4,B
14851132105,2,2, , , , , ,3.72254335260116,C,3,C
14851132105,1,2, , , , , ,3.72254335260116,C,3,C
14851132105,3,2, , , , , ,3.72254335260116,C,3,C
14851132105,4,2, , , , , ,3.72254335260116,C,3,C
14851805177,1,2, , , , , ,1.30508474576271,H,4,H
14851805177,2,2, , , , , ,1.30508474576271,H,4,H
14851805177,3,2, , , , , ,1.30508474576271,H,4,H
14851805177,4,2, , , , , ,1.30508474576271,H,4,H
14851969170,2,1,2, , ,1,1,1.05546492659054,C,5,C
14851969170,1,2, , , , , ,1.05546492659054,C,5,C
14851969170,3,2, , , , , ,1.05546492659054,C,5,C
14851969170,4,2, , , , , ,1.05546492659054,C,5,C
14852026171,2,1,2, , ,1,1,1.34308510638298,C,4,C
14852026171,1,2, , , , , ,1.34308510638298,C,4,C
14852026171,3,2, , , , , ,1.34308510638298,C,4,C
14852026171,4,2, , , , , ,1.34308510638298,C,4,C
14852303175,1,2, , , , , ,1.05546492659054,C,5,C
14852303175,2,2, , , , , ,1.05546492659054,C,5,C
14852303175,3,2, , , , , ,1.05546492659054,C,5,C
14852303175,4,2, , , , , ,1.05546492659054,C,5,C
14852853175,1,2, , , , , ,1.05546492659054,C,5,C
14852853175,2,2, , , , , ,1.05546492659054,C,5,C
14852853175,3,2, , , , , ,1.05546492659054,C,5,C
14852853175,4,2, , , , , ,1.05546492659054,C,5,C
14855631173,1,2, , , , , ,1.34308510638298,C,4,C
14855631173,2,2, , , , , ,1.34308510638298,C,4,C
14855631173,3,2, , , , , ,1.34308510638298,C,4,C
14855631173,4,2, , , , , ,1.34308510638298,C,4,C
14856411096,1,2, , , , , ,1.05546492659054,C,5,C
14856411096,2,2, , , , , ,1.05546492659054,C,5,C
14856411096,3,2, , , , , ,1.05546492659054,C,5,C
14856411096,4,2, , , , , ,1.05546492659054,C,5,C
14856916171,1,2, , , , , ,1.05546492659054,C,5,C
14856916171,2,2, , , , , ,1.05546492659054,C,5,C
14856916171,3,2, , , , , ,1.05546492659054,C,5,C
14856916171,4,2, , , , , ,1.05546492659054,C,5,C
14856931138,1,2, , , , , ,1.42857142857143,B,4,B
14856931138,3,2, , , , , ,1.42857142857143,B,4,B
14856931138,4,2, , , , , ,1.42857142857143,B,4,B
14856931138,2,1,2, , ,2, ,1.42857142857143,B,4,B
14856998097,2,2, , , , , ,1.34308510638298,C,4,C
14856998097,3,2, , , , , ,1.34308510638298,C,4,C
14856998097,4,2, , , , , ,1.34308510638298,C,4,C
14856998097,1,1,2, , ,2, ,1.34308510638298,C,4,C
14857244096,1,2, , , , , ,1.05546492659054,C,5,C
14857244096,2,2, , , , , ,1.05546492659054,C,5,C
14857244096,3,2, , , , , ,1.05546492659054,C,5,C
14857244096,4,2, , , , , ,1.05546492659054,C,5,C
14858370176,1,1,1,4830,100,2, ,1.34308510638298,C,4,C
14858370176,2,2, , , , , ,1.34308510638298,C,4,C
14858370176,3,2, , , , , ,1.34308510638298,C,4,C
14858370176,4,2, , , , , ,1.34308510638298,C,4,C
14858397091,1,2, , , , , ,1.34308510638298,C,4,C
14858397091,2,2, , , , , ,1.34308510638298,C,4,C
14858397091,3,2, , , , , ,1.34308510638298,C,4,C
14858397091,4,2, , , , , ,1.34308510638298,C,4,C
14858641170,1,2, , , , , ,1.34308510638298,C,4,C
14858641170,2,2, , , , , ,1.34308510638298,C,4,C
14858641170,3,2, , , , , ,1.34308510638298,C,4,C
14858641170,4,2, , , , , ,1.34308510638298,C,4,C
14858763097,1,2, , , , , ,1.42857142857143,B,4,B
14858763097,2,2, , , , , ,1.42857142857143,B,4,B
14858763097,3,2, , , , , ,1.42857142857143,B,4,B
14858763097,4,2, , , , , ,1.42857142857143,B,4,B
14858794090,1,2, , , , , ,1.34308510638298,C,4,C
14858794090,2,2, , , , , ,1.34308510638298,C,4,C
14858794090,3,2, , , , , ,1.34308510638298,C,4,C
14858794090,4,2, , , , , ,1.34308510638298,C,4,C
14858999091,1,2, , , , , ,3.72254335260116,C,3,C
14858999091,2,2, , , , , ,3.72254335260116,C,3,C
14858999091,3,2, , , , , ,3.72254335260116,C,3,C
14858999091,4,2, , , , , ,3.72254335260116,C,3,C
14859033092,1,2, , , , , ,3.72254335260116,C,3,C
14859033092,2,2, , , , , ,3.72254335260116,C,3,C
14859033092,3,2, , , , , ,3.72254335260116,C,3,C
14859033092,4,2, , , , , ,3.72254335260116,C,3,C
14859208097,4,2, , , , , ,3.72254335260116,C,3,C
14859208097,3,2, , , , , ,3.72254335260116,C,3,C
14859208097,2,2, , , , , ,3.72254335260116,C,3,C
14859208097,1,2, , , , , ,3.72254335260116,C,3,C
14859226095,4,2, , , , , ,1.03846153846154,H,5,H
14859226095,3,2, , , , , ,1.03846153846154,H,5,H
14859226095,2,2, , , , , ,1.03846153846154,H,5,H
14859226095,1,2, , , , , ,1.03846153846154,H,5,H
14859482091,1,2, , , , , ,1.05546492659054,C,5,C
14859482091,2,2, , , , , ,1.05546492659054,C,5,C
14859482091,3,2, , , , , ,1.05546492659054,C,5,C
14859482091,4,2, , , , , ,1.05546492659054,C,5,C
14859818090,1,2, , , , , ,1.05546492659054,C,5,C
14859818090,2,2, , , , , ,1.05546492659054,C,5,C
14859818090,3,2, , , , , ,1.05546492659054,C,5,C
14859818090,4,2, , , , , ,1.05546492659054,C,5,C
14860725097,1,2, , , , , ,1.05546492659054,C,5,C
14860725097,3,2, , , , , ,1.05546492659054,C,5,C
14860725097,4,2, , , , , ,1.05546492659054,C,5,C
14860725097,2,2, , , , , ,1.05546492659054,C,5,C
14860814081,1,2, , , , , ,1.05546492659054,C,5,C
14860814081,2,2, , , , , ,1.05546492659054,C,5,C
14860814081,3,2, , , , , ,1.05546492659054,C,5,C
14860814081,4,2, , , , , ,1.05546492659054,C,5,C
14861358179,2,1,1,15000,100,1,1,1.34308510638298,C,4,C
14861358179,1,2, , , , , ,1.34308510638298,C,4,C
14861358179,3,2, , , , , ,1.34308510638298,C,4,C
14861358179,4,2, , , , , ,1.34308510638298,C,4,C
14861600174,1,2, , , , , ,1.05546492659054,C,5,C
14861600174,2,2, , , , , ,1.05546492659054,C,5,C
14861600174,3,2, , , , , ,1.05546492659054,C,5,C
14861600174,4,2, , , , , ,1.05546492659054,C,5,C
14862491093,4,2, , , , , ,1.05546492659054,C,5,C
14862491093,3,2, , , , , ,1.05546492659054,C,5,C
